timestamp,ear,mar,p_drowsy,state
2025-11-11 11:29:51,0.155,0.217,1.00,drowsy_microsleep
2025-11-11 11:30:04,0.177,0.120,1.00,drowsy_microsleep
2025-11-11 11:30:09,0.172,0.000,1.00,drowsy_microsleep
2025-11-11 11:30:15,0.159,0.000,1.00,drowsy_microsleep
2025-11-11 11:30:17,0.126,0.000,1.00,drowsy_microsleep
2025-11-11 11:30:19,0.150,0.043,1.00,drowsy_microsleep
2025-11-11 11:30:23,0.145,0.000,1.00,drowsy_microsleep
2025-11-11 11:30:34,0.144,0.000,1.00,drowsy_microsleep
2025-11-11 11:30:37,0.163,0.000,1.00,drowsy_microsleep
2025-11-11 11:30:43,0.159,0.050,1.00,drowsy_microsleep
2025-11-11 11:31:08,0.205,0.182,0.97,drowsy_microsleep
2025-11-11 11:31:11,0.109,0.047,1.00,drowsy_microsleep
2025-11-11 11:31:36,0.134,0.043,1.00,drowsy_microsleep
2025-11-11 11:31:49,0.214,0.028,0.94,drowsy_microsleep
2025-11-17 11:00:51,0.172,0.000,1.00,drowsy_microsleep
2025-11-17 11:00:58,0.199,0.017,0.98,drowsy_microsleep
2025-11-21 14:21:18,0.070,0.058,1.00,drowsy_microsleep
2025-11-21 14:21:29,0.083,0.000,1.00,drowsy_microsleep
2025-11-21 14:21:35,0.135,0.000,1.00,drowsy_microsleep
2025-11-21 14:21:50,0.186,0.608,1.00,drowsy_microsleep
2025-11-21 14:22:12,0.078,0.022,1.00,drowsy_microsleep
2025-11-21 14:22:17,0.103,0.023,1.00,drowsy_microsleep
2025-11-21 14:22:21,0.077,0.024,1.00,drowsy_microsleep
2025-11-21 14:22:26,0.142,0.049,1.00,drowsy_microsleep
2025-11-23 08:37:15,0.214,0.020,0.94,drowsy_microsleep
2025-11-23 08:37:40,0.139,0.000,1.00,drowsy_microsleep
2025-11-23 08:38:13,0.189,0.022,0.99,drowsy_microsleep
2025-11-23 08:49:32,0.189,0.000,0.99,drowsy_microsleep
2025-11-23 09:43:53,0.193,0.000,0.98,drowsy_microsleep
2025-11-23 10:02:06,0.121,0.015,1.00,fatigue_level_3
2025-11-23 10:03:14,0.130,0.000,1.00,fatigue_level_3
2025-11-23 10:04:45,0.149,0.013,1.00,fatigue_level_3
2025-11-23 20:30:41,0.256,0.022,0.38,fatigue_level_1
2025-11-23 20:32:01,0.292,0.000,0.05,fatigue_level_1
2025-11-23 20:32:17,0.247,0.020,0.53,fatigue_level_2
2025-11-23 20:35:17,0.234,0.159,0.78,fatigue_level_2
2025-11-23 20:35:37,0.224,0.000,0.84,fatigue_level_2
2025-11-23 20:36:25,0.239,0.000,0.66,fatigue_level_2
2025-11-23 20:38:37,0.216,0.021,0.93,fatigue_level_2
2025-11-23 20:38:46,0.232,0.022,0.76,fatigue_level_2
2025-11-23 20:40:44,0.223,0.000,0.84,fatigue_level_2
2025-11-23 20:44:57,0.240,0.020,0.64,fatigue_level_2
2025-11-23 20:45:01,0.226,0.042,0.82,fatigue_level_2
2025-11-23 20:45:12,0.248,0.000,0.51,fatigue_level_2
2025-11-23 20:46:27,0.148,0.000,1.00,fatigue_level_3
2025-11-23 20:53:00,0.146,0.018,1.00,fatigue_level_3
2025-11-23 20:55:11,0.134,0.041,1.00,fatigue_level_3
2025-11-23 22:18:36,0.099,0.000,1.00,fatigue_level_3
2025-11-23 22:18:42,0.126,0.048,1.00,fatigue_level_3
2025-11-23 22:18:49,0.064,0.016,1.00,fatigue_level_3
2025-11-23 22:18:56,0.074,0.000,1.00,fatigue_level_3
2025-11-23 22:25:00,0.147,0.000,1.00,fatigue_level_3
2025-11-23 22:25:29,0.187,0.049,0.99,fatigue_level_3
2025-11-23 22:25:39,0.113,0.064,1.00,fatigue_level_3
2025-11-23 22:25:51,0.134,0.016,1.00,fatigue_level_3
2025-11-23 22:26:00,0.049,0.079,1.00,fatigue_level_3
2025-11-23 22:26:31,0.066,0.015,1.00,fatigue_level_3
2025-11-23 22:26:40,0.062,0.015,1.00,fatigue_level_3
2025-11-23 22:26:48,0.048,0.014,1.00,fatigue_level_3
2025-11-23 22:27:06,0.123,0.000,1.00,fatigue_level_3
2025-11-23 22:27:29,0.080,0.000,1.00,fatigue_level_3
2025-11-23 22:27:39,0.087,0.014,1.00,fatigue_level_3
